model,feature_set,n_features,roc_auc,avg_precision,brier,threshold,precision,recall,f1,positive_rate_pred
Logit_E_extended,E_extended,34,0.8565742078247706,0.6276435085480917,0.3702331607142261,0.13927678878110603,0.1392731924571212,0.9999149587549961,0.24449226994375306,0.9999407786424096
RF_E_extended,E_extended,34,0.8544570939184298,0.6269908606982806,0.19805456937008145,0.13927678878110603,0.14774300923632022,0.9889446381495025,0.25707969492649496,0.932274455459617
RF_C_local_plus_neighbors,C_local_plus_neighbors,17,0.8445863898456142,0.6099356656304565,0.16118448552818304,0.13927678878110603,0.1824900605440718,0.9407262522323326,0.3056814413617774,0.7179642066114723
RF_D_fatality_split,D_fatality_split,19,0.8444009152062255,0.6096036462917966,0.16834082042908607,0.13927678878110603,0.17287242240236722,0.9539076452079258,0.29270011090090675,0.768527401722157
Logit_C_local_plus_neighbors,C_local_plus_neighbors,17,0.8500791245182288,0.6083214473220772,0.38403591988622715,0.13927678878110603,0.13927843843274743,1.0,0.2445028954016655,0.9999881557284819
Logit_D_fatality_split,D_fatality_split,19,0.8494609529560189,0.6077935418778615,0.3837819058285779,0.13927678878110603,0.13928008812346762,1.0,0.24450543738173955,0.9999763114569639
RF_B_local_history,B_local_history,15,0.8398099377909308,0.6066972001171081,0.16652863761425166,0.13927678878110603,0.18681487815305686,0.9289905604218046,0.31107440840618505,0.6925937770197444
Logit_B_local_history,B_local_history,15,0.8447845510425522,0.6049020110036747,0.3870574375755338,0.13927678878110603,0.13928008812346762,1.0,0.24450543738173955,0.9999763114569639
RF_A_place_time,A_place_time,5,0.7204477238407098,0.3943265363332634,0.19028973954840173,0.13927678878110603,0.155218567769755,0.9122374351560507,0.2652965326210615,0.8185457603430101
Logit_A_place_time,A_place_time,5,0.5487896812285044,0.152278944737769,0.6095678142170088,0.13927678878110603,0.13927678878110603,1.0,0.24450035347444588,1.0
