model,bin,mean_predicted_risk,observed_protest_rate,n
RF_B_local_history,0,0.023396674423869036,0.0271230605235106,8443
RF_B_local_history,1,0.06369612890201955,0.031979154329029966,8443
RF_B_local_history,2,0.10938338096492699,0.03683524813454933,8443
RF_B_local_history,3,0.16490558053247695,0.039677839630463105,8443
RF_B_local_history,4,0.23621074451985843,0.04796873149354495,8443
RF_B_local_history,5,0.3254560670752144,0.06408434020374319,8442
RF_B_local_history,6,0.4392271334444286,0.08054009238422362,8443
RF_B_local_history,7,0.6009838315528112,0.13774724623948834,8443
RF_B_local_history,8,0.7868286412686907,0.27075683998578703,8443
RF_B_local_history,9,0.95673916261861,0.6560464289944332,8443
RF_C_local_plus_neighbors,0,0.028121525157213077,0.024635792964586047,8443
RF_C_local_plus_neighbors,1,0.07540767119572256,0.027833708397489044,8443
RF_C_local_plus_neighbors,2,0.1233898528939877,0.03754589600852778,8443
RF_C_local_plus_neighbors,3,0.1778947831803252,0.03825654388250622,8443
RF_C_local_plus_neighbors,4,0.24164229684498242,0.04690275968257728,8443
RF_C_local_plus_neighbors,5,0.31983400943935536,0.057687751717602466,8442
RF_C_local_plus_neighbors,6,0.4285630244257897,0.08859410162264598,8443
RF_C_local_plus_neighbors,7,0.5808159122603346,0.13964230723676418,8443
RF_C_local_plus_neighbors,8,0.7682201253152046,0.2720596944214142,8443
RF_C_local_plus_neighbors,9,0.9534999345655495,0.6595996683643255,8443
RF_D_fatality_split,0,0.043379935879710854,0.024635792964586047,8443
RF_D_fatality_split,1,0.09410941473383555,0.02889968020845671,8443
RF_D_fatality_split,2,0.14921322780143612,0.0352955110742627,8443
RF_D_fatality_split,3,0.20381600485316234,0.03730901338386829,8443
RF_D_fatality_split,4,0.26649501183688057,0.050929764301788465,8443
RF_D_fatality_split,5,0.3434884496908355,0.05555555555555555,8442
RF_D_fatality_split,6,0.4466925934544179,0.09131825180623002,8443
RF_D_fatality_split,7,0.5927446200108931,0.1350230960559043,8443
RF_D_fatality_split,8,0.7760314345566577,0.2741916380433495,8443
RF_D_fatality_split,9,0.9547899928113114,0.6595996683643255,8443
Logit_C_local_plus_neighbors,0,0.42068343571350975,0.020253464408385644,8443
Logit_C_local_plus_neighbors,1,0.4717464963837136,0.02688617789885112,8443
Logit_C_local_plus_neighbors,2,0.5071256359703524,0.03304512613999763,8443
Logit_C_local_plus_neighbors,3,0.5438361258493587,0.03446642188795452,8443
Logit_C_local_plus_neighbors,4,0.5894258534794848,0.043586402937344546,8443
Logit_C_local_plus_neighbors,5,0.6542651094781373,0.06586117033878228,8442
Logit_C_local_plus_neighbors,6,0.7450783398036216,0.09131825180623002,8443
Logit_C_local_plus_neighbors,7,0.8519177199690225,0.14248489873267794,8443
Logit_C_local_plus_neighbors,8,0.9578803844919387,0.2762051403529551,8443
Logit_C_local_plus_neighbors,9,0.9985839320715019,0.6586521378656875,8443
Logit_D_fatality_split,0,0.420353233811549,0.020727229657704606,8443
Logit_D_fatality_split,1,0.47150550059954177,0.0271230605235106,8443
Logit_D_fatality_split,2,0.5068910616486164,0.03304512613999763,8443
Logit_D_fatality_split,3,0.5434980974228087,0.033874215326305815,8443
Logit_D_fatality_split,4,0.589134571817801,0.04429705081132299,8443
Logit_D_fatality_split,5,0.6537778261660334,0.0662165363657901,8442
Logit_D_fatality_split,6,0.7445219138733689,0.09191045836787871,8443
Logit_D_fatality_split,7,0.8514505458148278,0.1422480161080185,8443
Logit_D_fatality_split,8,0.9576152751996116,0.2756129337913064,8443
Logit_D_fatality_split,9,0.9985813061780984,0.6577046073670496,8443
